Release 14.7 - par P.20131013 (nt)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Thu Mar 31 11:53:58 2016


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       CPU_map.ncd
OUTPUT FILE:      CPU_pad.txt
PART TYPE:        xc3s500e
SPEED GRADE:      -5
PACKAGE:          ft256

Pinout by Pin Number:

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name             |Pin Usage|Pin Name                 |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|IO Register|Signal Integrity|
|A11       |                        |         |VCCAUX                   |         |           |              |          |         |           |         |2.5    |          |           |                |
|A12       |                        |IOB      |IO                       |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|A13       |                        |DIFFS    |IO_L03N_0/VREF_0         |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|A14       |                        |DIFFS    |IO_L01N_0                |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|A15       |                        |         |TCK                      |         |           |              |          |         |           |         |       |          |           |                |
|A16       |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|B1        |SelectedSecondOperand<4>|IOB      |IO_L01P_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|B2        |Instruction<0>          |IOB      |IO_L01N_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|B3        |Instruction<15>         |IOB      |IO_L19N_0/HSWAP          |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|B4        |Instruction<13>         |IOB      |IO                       |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|B5        |                        |         |VCCO_0                   |         |           |0             |          |         |           |         |2.50   |          |           |                |
|B6        |                        |IBUF     |IP                       |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|B7        |ValueIfMove<6>          |IOB      |IO_L13P_0                |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|B8        |clk                     |IBUF     |IP_L10N_0/GCLK9          |INPUT    |LVCMOS25*  |0             |          |         |           |NONE     |       |UNLOCATED |NO         |NONE            |
|B9        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|B10       |                        |IBUF     |IP                       |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|B11       |                        |DIFFS    |IO_L05N_0/VREF_0         |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|B12       |                        |         |VCCO_0                   |         |           |0             |          |         |           |         |2.50   |          |           |                |
|B13       |                        |DIFFM    |IO_L03P_0                |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|B14       |Instruction<5>          |IOB      |IO_L01P_0                |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|B15       |                        |         |TMS                      |         |           |              |          |         |           |         |       |          |           |                |
|B16       |                        |IBUF     |IP                       |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|C1        |Instruction<9>          |IOB      |IO_L02P_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|C2        |Instruction<10>         |IOB      |IO_L02N_3/VREF_3         |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|C3        |Instruction<4>          |IOB      |IO_L19P_0                |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|C4        |Instruction<6>          |IOB      |IO_L18N_0                |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|C5        |ValueIfMove<2>          |IOB      |IO_L18P_0                |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|C6        |AluFunction<1>          |IOB      |IO_L15P_0                |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |YES        |NONE            |
|C7        |ValueIfMove<0>          |IOB      |IO_L13N_0                |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|C8        |Rd<6>                   |IOB      |IO_L11P_0/GCLK10         |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|C9        |                        |DIFFSI   |IP_L07N_0                |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|C10       |                        |DIFFMI   |IP_L07P_0                |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|C11       |                        |DIFFM    |IO_L05P_0                |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|C12       |                        |DIFFSI   |IP_L02N_0                |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|C13       |                        |IBUF     |IP                       |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|C14       |                        |         |TDO                      |         |           |              |          |         |           |         |       |          |           |                |
|C15       |                        |DIFFS    |IO_L19N_1/LDC2           |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|C16       |                        |DIFFM    |IO_L19P_1/LDC1           |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|D1        |Rd<1>                   |IOB      |IO_L05P_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|D2        |                        |IBUF     |IP                       |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|D3        |                        |         |PROG_B                   |         |           |              |          |         |           |         |       |          |           |                |
|D4        |                        |         |VCCINT                   |         |           |              |          |         |           |         |1.2    |          |           |                |
|D5        |                        |DIFFMI   |IP_L16P_0                |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|D6        |OperationResult<1>      |IOB      |IO_L15N_0                |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|D7        |SelectedSecondOperand<6>|IOB      |IO_L14N_0/VREF_0         |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|D8        |Rd<0>                   |IOB      |IO_L11N_0/GCLK11         |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|D9        |Rd<5>                   |IOB      |IO/VREF_0                |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|D10       |                        |DIFFM    |IO_L06P_0                |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|D11       |                        |DIFFM    |IO_L04P_0                |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|D12       |                        |DIFFMI   |IP_L02P_0                |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|D13       |                        |         |VCCINT                   |         |           |              |          |         |           |         |1.2    |          |           |                |
|D14       |                        |DIFFS    |IO_L18N_1/LDC0           |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|D15       |                        |DIFFM    |IO_L18P_1/HDC            |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|D16       |                        |IBUF     |IP/VREF_1                |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|E1        |OperationResult<3>      |IOB      |IO_L05N_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|E2        |                        |         |VCCO_3                   |         |           |3             |          |         |           |         |2.50   |          |           |                |
|E3        |ValueIfMove<5>          |IOB      |IO_L03P_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|E4        |OperationResult<0>      |IOB      |IO_L03N_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|E5        |                        |         |VCCINT                   |         |           |              |          |         |           |         |1.2    |          |           |                |
|E6        |                        |DIFFSI   |IP_L16N_0                |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|E7        |SelectedDataToWrite<5>  |IOB      |IO_L14P_0                |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|E8        |ValueIfMove<3>          |IOB      |IO_L12P_0                |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|E9        |DmResult<5>             |IOB      |IO_L08P_0/GCLK4          |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|E10       |                        |DIFFS    |IO_L06N_0                |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|E11       |                        |DIFFS    |IO_L04N_0                |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|E12       |                        |         |VCCINT                   |         |           |              |          |         |           |         |1.2    |          |           |                |
|E13       |                        |DIFFM    |IO_L17P_1                |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|E14       |                        |IBUF     |IP                       |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|E15       |                        |         |VCCO_1                   |         |           |1             |          |         |           |         |2.50   |          |           |                |
|E16       |                        |DIFFS    |IO_L17N_1                |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|F1        |                        |         |VCCAUX                   |         |           |              |          |         |           |         |2.5    |          |           |                |
|F2        |                        |IBUF     |IP                       |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|F3        |Instruction<2>          |IOB      |IO_L04P_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|F4        |ValueIfMove<1>          |IOB      |IO_L04N_3/VREF_3         |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|F5        |SelectedSecondOperand<3>|IOB      |IO                       |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|F6        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|F7        |                        |         |VCCO_0                   |         |           |0             |          |         |           |         |2.50   |          |           |                |
|F8        |OperationResult<4>      |IOB      |IO_L12N_0                |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|F9        |DmResult<7>             |IOB      |IO_L08N_0/GCLK5          |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|F10       |                        |         |VCCO_0                   |         |           |0             |          |         |           |         |2.50   |          |           |                |
|F11       |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|F12       |                        |DIFFS    |IO_L16N_1                |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|F13       |                        |DIFFM    |IO_L16P_1                |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|F14       |DmResult<0>             |IOB      |IO_L15P_1                |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|F15       |Rd<3>                   |IOB      |IO_L15N_1                |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|F16       |                        |         |VCCAUX                   |         |           |              |          |         |           |         |2.5    |          |           |                |
|G1        |                        |IBUF     |IP/VREF_3                |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|G2        |Rs<5>                   |IOB      |IO_L07N_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|G3        |OperationResult<6>      |IOB      |IO_L07P_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|G4        |Rs<6>                   |IOB      |IO_L06N_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|G5        |Instruction<1>          |IOB      |IO_L06P_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|G6        |                        |         |VCCO_3                   |         |           |3             |          |         |           |         |2.50   |          |           |                |
|G7        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|G8        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|G9        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|G10       |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|G11       |                        |         |VCCO_1                   |         |           |1             |          |         |           |         |2.50   |          |           |                |
|G12       |                        |IBUF     |IP                       |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|G13       |DmResult<1>             |IOB      |IO_L14P_1                |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|G14       |DmResult<6>             |IOB      |IO_L14N_1/A0             |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|G15       |Rd<4>                   |IOB      |IO_L13P_1/A2             |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|G16       |DmResult<4>             |IOB      |IO_L13N_1/A1             |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|H1        |                        |IBUF     |IP                       |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|H2        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|H3        |ValueIfMove<7>          |IOB      |IO_L09P_3/LHCLK2         |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|H4        |OperationResult<7>      |IOB      |IO_L09N_3/LHCLK3/IRDY2   |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|H5        |OperationResult<2>      |IOB      |IO_L08P_3/LHCLK0         |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|H6        |SelectedDataToWrite<2>  |IOB      |IO_L08N_3/LHCLK1         |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|H7        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|H8        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|H9        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|H10       |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|H11       |SelectedSecondOperand<1>|IOB      |IO_L12N_1/A3/RHCLK7      |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|H12       |DmResult<3>             |IOB      |IO_L12P_1/A4/RHCLK6      |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|H13       |                        |IBUF     |IP/VREF_1                |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|H14       |DmResult<2>             |IOB      |IO_L11N_1/A5/RHCLK5      |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|H15       |Instruction<7>          |IOB      |IO_L11P_1/A6/RHCLK4/IRDY1|OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|H16       |                        |IBUF     |IP                       |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|J1        |Instruction<3>          |IOB      |IO_L12P_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|J2        |nextPC<3>               |IOB      |IO_L10P_3/LHCLK4/TRDY2   |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|J3        |SelectedSecondOperand<2>|IOB      |IO_L10N_3/LHCLK5         |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|J4        |nextPC<7>               |IOB      |IO_L11N_3/LHCLK7         |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|J5        |OperationResult<5>      |IOB      |IO_L11P_3/LHCLK6         |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|J6        |                        |IBUF     |IP                       |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|J7        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|J8        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|J9        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|J10       |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|J11       |                        |IBUF     |IP                       |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|J12       |                        |IBUF     |IP                       |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|J13       |                        |DIFFS    |IO_L10N_1/A7/RHCLK3/TRDY1|UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|J14       |SelectedSecondOperand<0>|IOB      |IO_L10P_1/A8/RHCLK2      |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|J15       |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|J16       |FlagsWrite              |IOB      |IO_L09N_1/A9/RHCLK1      |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |YES        |NONE            |
|K1        |PC<7>                   |IOB      |IO_L12N_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|K2        |nextPC<1>               |IOB      |IO_L13P_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|K3        |nextPC<2>               |IOB      |IO_L13N_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|K4        |                        |IBUF     |IP                       |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|K5        |nextPC<0>               |IOB      |IO_L15P_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|K6        |                        |         |VCCO_3                   |         |           |3             |          |         |           |         |2.50   |          |           |                |
|K7        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|K8        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|K9        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|K10       |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|K11       |                        |         |VCCO_1                   |         |           |1             |          |         |           |         |2.50   |          |           |                |
|K12       |IsJump                  |IOB      |IO_L07N_1/A11            |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |YES        |NONE            |
|K13       |                        |DIFFM    |IO_L07P_1/A12            |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|K14       |DmWriteWnable           |IOB      |IO_L08N_1/VREF_1         |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |YES        |NONE            |
|K15       |RegWrite                |IOB      |IO_L08P_1                |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |YES        |NONE            |
|K16       |should_jump             |IOB      |IO_L09P_1/A10/RHCLK0     |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|L1        |                        |         |VCCAUX                   |         |           |              |          |         |           |         |2.5    |          |           |                |
|L2        |nextPC<6>               |IOB      |IO_L14N_3/VREF_3         |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|L3        |nextPC<4>               |IOB      |IO_L14P_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|L4        |Instruction<14>         |IOB      |IO_L17N_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|L5        |AluFunction<0>          |IOB      |IO_L15N_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |YES        |NONE            |
|L6        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|L7        |                        |         |VCCO_2                   |         |           |2             |          |         |           |         |2.50   |          |           |                |
|L8        |SelectedDataToWrite<6>  |IOB      |IO_L09N_2/D6/GCLK13      |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|L9        |IsZero                  |IOB      |IO_L13P_2/M0             |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|L10       |                        |         |VCCO_2                   |         |           |2             |          |         |           |         |2.50   |          |           |                |
|L11       |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|L12       |                        |DIFFM    |IO_L05P_1                |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|L13       |                        |DIFFS    |IO_L05N_1                |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|L14       |                        |DIFFM    |IO_L06P_1                |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|L15       |                        |DIFFS    |IO_L06N_1                |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|L16       |                        |         |VCCAUX                   |         |           |              |          |         |           |         |2.5    |          |           |                |
|M1        |PC<5>                   |IOB      |IO_L16P_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|M2        |                        |         |VCCO_3                   |         |           |3             |          |         |           |         |2.50   |          |           |                |
|M3        |                        |IBUF     |IP                       |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|M4        |PC<1>                   |IOB      |IO_L17P_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|M5        |                        |         |VCCINT                   |         |           |              |          |         |           |         |1.2    |          |           |                |
|M6        |nextPC<5>               |IOB      |IO_L05P_2                |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|M7        |                        |IBUF     |IP                       |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|M8        |SelectedDataToWrite<3>  |IOB      |IO_L09P_2/D7/GCLK12      |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|M9        |IsSign                  |IOB      |IO_L13N_2/DIN/D0         |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|M10       |                        |DIFFS    |IO_L15N_2                |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|M11       |                        |DIFFSI   |IP_L17N_2                |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|M12       |                        |         |VCCINT                   |         |           |              |          |         |           |         |1.2    |          |           |                |
|M13       |                        |IBUF     |IP                       |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|M14       |                        |IOB      |IO                       |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|M15       |                        |         |VCCO_1                   |         |           |1             |          |         |           |         |2.50   |          |           |                |
|M16       |                        |DIFFS    |IO_L04N_1/VREF_1         |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|N1        |Rs<7>                   |IOB      |IO_L16N_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|N2        |PC<6>                   |IOB      |IO/VREF_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|N3        |                        |IBUF     |IP                       |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|N4        |                        |         |VCCINT                   |         |           |              |          |         |           |         |1.2    |          |           |                |
|N5        |Rs<0>                   |IOB      |IO_L03N_2/MOSI/CSI_B     |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
